cpf,nome_adm,id_func,cod_escola
12345678901,Lucas Silva,10001,11000201
23456789012,Ana Souza,10002,12009172
34567890123,Pedro Santos,10003,27035018
45678901234,Juliana Oliveira,10004,16000641
56789012345,Fernando Lima,10005,13027107
67890123456,Camila Costa,10006,29190290
78901234567,Rafael Pereira,10007,23065591
89012345678,Larissa Rocha,10008,53002458
90123456789,Guilherme Martins,10009,32040121
01234567890,Carolina Almeida,10010,52034682
98365432101,André Lima,10011,21015473
87654321012,Amanda Ferreira,10012,51056500
72543210923,Diego Rodrigues,10013,50031198
65432109834,Jéssica Pereira,10014,31000019
59321098745,Luciano Oliveira,10015,15588947
49210987656,Mariana Silva,10016,25124528
21098765478,Juliana Lima,10018,26139618
10987654389,Vinícius Costa,10019,22022236
98765432101,Felipe Oliveira,10021,24058769
76543210923,Gabriel Rocha,10023,14000814
54321098745,Rodrigo Pereira,10025,35107273
43210987656,Isabela Costa,10026,28034570
32109876567,Leonardo Lima,10027,17046807
