cpf,nome_prof,cod_escola,serie,etapa_ensino,id_func,nu_sala,cod_disciplina
11434344434,Fernanda Silva,11000201,1A,Ensino Médio,10011,101,2
69585784734,Carlos Oliveira,12009172,1A,Ensino Fundamental,10021,201,5
11111111133,Roberto Lima,16000641,1A,Ensino Fundamental,10041,401,3
22222222223,Patrícia Costa,13027107,1A,Ensino Médio,10051,501,6
44444443434,Lucas Pereira,29190290,1A,Ensino Médio,10061,601,4
55564554456,Beatriz Oliveira,23065591,1A,Ensino Médio,10071,701,18
86878787877,Ricardo Silva,53002458,1A,Ensino Fundamental,10081,801,8
79798584845,Juliana Lima,32040121,1A,Ensino Fundamental,10091,901,10
69797858475,Felipe Oliveira,52034682,1A,Ensino Fundamental,10101,1001,11
39495586576,Ana Costa,21015473,1A,Ensino Médio,10111,1101,12
49696847465,Eduardo Santos,31000019,1A,Ensino Médio,10141,1401,15
59659685747,Larissa Lima,15588947,1A,Ensino Médio,10151,1501,16
59697685784,Guilherme Oliveira,25124528,1A,Ensino Fundamental,10161,1601,3
59868678473,Mariana Oliveira,22022236,1A,Ensino Fundamental,10191,1901,8
22233344564,Tatiane Oliveira,35107273,1A,Ensino Médio,10251,2501,14
11111111122,Amanda Santos,27035018,MA,Ensino Básico,10031,301,1
33030349495,Marcos Silva,51056500,MA,Ensino Básico,10121,1201,13
58686747364,Tatiane Oliveira,50031198,MA,Ensino Básico,10131,1301,14
49596674635,Vanessa Costa,41132173,MA,Ensino Básico,10171,1701,6
45958686647,Renato Silva,26139618,9A,Ensino Fundamental,10181,1801,7
33333322212,Jorge Santos,33230021,MA,Ensino Básico,10201,2001,9
44555337475,Camila Lima,24058769,4A,Ensino Fundamental,10211,2101,10
99999999655,Paulo Oliveira,43209262,MA,Ensino Básico,10221,2201,11
99999788865,Fernanda Costa,14000814,5A,Ensino Fundamental,10231,2301,2
34555435667,Ricardo Silva,42141184,MA,Ensino Básico,10241,2401,13
