cpf,nome_prof,serie,etapa_ensino,id_func,nu_sala,cod_disciplina
11434344434,Fernanda Silva,1A,Ensino Médio,10011,101,2
69585784734,Carlos Oliveira,2B,Ensino Médio,10021,102,5
11111111122,Amanda Santos,3C,Ensino Médio,10031,103,1
11111111133,Roberto Lima,1A,Ensino Fundamental,10041,201,3
22222222223,Patrícia Costa,2B,Ensino Fundamental,10051,202,6
44444443434,Lucas Pereira,3C,Ensino Fundamental,10061,203,4
55564554456,Beatriz Oliveira,MA,Ensino Básico,10071,301,18
86878787877,Ricardo Silva,7B,Ensino Fundamental,1081,302,8
78979685746,Camila Santos,3C,Ensino Médio,10091,303,17
79798584845,Juliana Lima,1A,Ensino Fundamental,10101,401,10
69797858475,Felipe Oliveira,2B,Ensino Fundamental,10111,402,11
39495586576,Ana Costa,3C,Ensino Fundamental,10121,403,12
33030349495,Marcos Silva,1A,Ensino Médio,10131,501,13
58686747364,Tatiane Oliveira,2B,Ensino Médio,10141,502,14
49696847465,Eduardo Santos,3C,Ensino Médio,10151,503,15
59659685747,Larissa Lima,1A,Ensino Médio,10161,601,16
59697685784,Guilherme Oliveira,2B,Ensino Médio,10171,602,3
49596674635,Vanessa Costa,3C,Ensino Médio,10181,603,6
45958686647,Renato Silva,1A,Ensino Médio,10191,701,7
59868678473,Mariana Oliveira,2B,Ensino médio,10201,702,8
33333322212,Jorge Santos,3C,Ensino Médio,10221,703,9
44555337475,Camila Lima,1A,Ensino Fundamental,10231,801,10
99999999655,Paulo Oliveira,2B,Ensino Fundamental,10241,802,11
99999788865,Fernanda Costa,3C,Ensino Fundamental,10251,803,12
34555435667,Ricardo Silva,1A,Ensino Fundamental,10261,901,13
22233344564,Tatiane Oliveira,2B,Ensino Fundamental,10271,902,14
11227754456,Eduardo Santos,3C,Ensino Fundamental,10281,903,15
67776555677,Larissa Lima,1A,Ensino Fundamental,10291,1001,16
23444555544,Guilherme Oliveira,2B,Ensino Fundamental,10301,1002,3
45666444567,Vanessa Costa,3C,Ensino Fundamental,10311,1003,6
09099394950,Renato Silva,1A,Ensino Médio,10321,1101,7
39246573424,Mariana Oliveira,2B,Ensino Médio,10331,1102,8
99998888776,Jorge Santos,3C,Ensino Médio,10341,1103,9
