cpf,nome_saude,id_func,cod_escola
41678901234,Mariana Oliveira,10012,11000201
52789012345,Felipe Silva,10022,12009172
63890123456,Luciana Santos,10032,27035018
73901234567,Rafael Souza,10042,16000641
84012345678,Amanda Lima,10052,13027107
96123456789,Mateus Pereira,10062,29190290
05234567890,Ana Rocha,10072,23065591
19345678901,Lucas Martins,10082,53002458
20456789012,Isabela Castro,10092,32040121
33567890123,Gabriel Almeida,10102,52034682
45678901234,Bruna Oliveira,10112,21015473
57789012345,João Silva,10122,51056500
76901234567,Leonardo Souza,10142,31000019
88012345678,Fernanda Lima,10152,15588947
93123456789,Daniel Pereira,10162,25124528
22456789012,Laura Castro,10182,26139618
31567890123,Larissa Oliveira,10192,22022236
54789012345,Thais Lima,10212,24058769
77901234567,Renato Silva,10232,14000814
91123456789,Jorge Santos,10252,35107273
17345678901,Paulo Oliveira,10272,17046807
