cpf,nome_seg,id_func,cod_escola
13678678901,Eduardo Silva,10013,11000201
22598789012,Maria Oliveira,10023,12009172
56464637384,Fernanda Lima,10043,16000641
37476453824,Rafael Pereira,10053,13027107
89897858473,Amanda Castro,10063,29190290
69778458474,Juliana Oliveira,10083,53002458
59696834737,Isabela Silva,10093,32040121
79678847364,Gabriel Souza,10103,52034682
56684839203,Bruna Lima,10113,21015473
68674775757,João Oliveira,10123,51056500
12121212121,Larissa Silva,10133,50031198
36464765757,Camila Lima,10153,15588947
58768768584,Daniel Oliveira,10163,25124528
58686858374,Mariana Castro,10183,26139618
59569695847,Mateus Souza,10233,14000814
